[2020-04-15T02:01:47.232-0700][gc,task       ] GC(1394) Using 4 workers of 4 for evacuation
[2020-04-15T02:01:47.257-0700][gc,mmu        ] GC(1394) MMU target violated: 21.0ms (20.0ms/21.0ms)
[2020-04-15T02:01:47.257-0700][gc,phases     ] GC(1394)   Pre Evacuate Collection Set: 0.0ms
[2020-04-15T02:01:47.257-0700][gc,phases     ] GC(1394)   Evacuate Collection Set: 23.7ms
[2020-04-15T02:01:47.257-0700][gc,phases     ] GC(1394)   Post Evacuate Collection Set: 0.8ms
[2020-04-15T02:01:47.257-0700][gc,phases     ] GC(1394)   Other: 0.8ms
[2020-04-15T02:01:47.257-0700][gc,heap       ] GC(1394) Eden regions: 47->0(47)
[2020-04-15T02:01:47.257-0700][gc,heap       ] GC(1394) Survivor regions: 4->4(7)
[2020-04-15T02:01:47.257-0700][gc,heap       ] GC(1394) Old regions: 108->108
[2020-04-15T02:01:47.257-0700][gc,heap       ] GC(1394) Humongous regions: 130->130
[2020-04-15T02:01:47.257-0700][gc,metaspace  ] GC(1394) Metaspace: 28289K->28289K(1075200K)
[2020-04-15T02:01:47.257-0700][gc            ] GC(1394) Pause Young (Normal) (G1 Evacuation Pause) 287M->240M(1024M) 25.575ms
[2020-04-15T02:01:47.257-0700][gc,cpu        ] GC(1394) User=0.08s Sys=0.00s Real=0.03s
[2020-04-15T02:02:01.605-0700][gc,start      ] GC(1395) Pause Young (Normal) (G1 Evacuation Pause)
[2020-04-15T02:02:01.605-0700][gc,task       ] GC(1395) Using 4 workers of 4 for evacuation
[2020-04-15T02:02:01.626-0700][gc,mmu        ] GC(1395) MMU target violated: 20.4ms (20.0ms/21.0ms)
[2020-04-15T02:02:01.626-0700][gc,phases     ] GC(1395)   Pre Evacuate Collection Set: 0.0ms
[2020-04-15T02:02:01.626-0700][gc,phases     ] GC(1395)   Evacuate Collection Set: 19.5ms
[2020-04-15T02:02:01.626-0700][gc,phases     ] GC(1395)   Post Evacuate Collection Set: 0.7ms
[2020-04-15T02:02:01.626-0700][gc,phases     ] GC(1395)   Other: 0.5ms
[2020-04-15T02:02:01.626-0700][gc,heap       ] GC(1395) Eden regions: 47->0(47)
[2020-04-15T02:02:01.626-0700][gc,heap       ] GC(1395) Survivor regions: 4->4(7)
[2020-04-15T02:02:01.626-0700][gc,heap       ] GC(1395) Old regions: 108->108
[2020-04-15T02:02:01.626-0700][gc,heap       ] GC(1395) Humongous regions: 130->130
[2020-04-15T02:02:01.626-0700][gc,metaspace  ] GC(1395) Metaspace: 28289K->28289K(1075200K)
[2020-04-15T02:02:01.626-0700][gc            ] GC(1395) Pause Young (Normal) (G1 Evacuation Pause) 287M->240M(1024M) 20.786ms
[2020-04-15T02:02:01.626-0700][gc,cpu        ] GC(1395) User=0.06s Sys=0.01s Real=0.02s
[2020-04-15T02:02:15.921-0700][gc,start      ] GC(1396) Pause Young (Normal) (G1 Evacuation Pause)
[2020-04-15T02:02:15.921-0700][gc,task       ] GC(1396) Using 4 workers of 4 for evacuation
[2020-04-15T02:02:15.940-0700][gc,phases     ] GC(1396)   Pre Evacuate Collection Set: 0.0ms
[2020-04-15T02:02:15.940-0700][gc,phases     ] GC(1396)   Evacuate Collection Set: 17.9ms
[2020-04-15T02:02:15.940-0700][gc,phases     ] GC(1396)   Post Evacuate Collection Set: 0.8ms
[2020-04-15T02:02:15.940-0700][gc,phases     ] GC(1396)   Other: 0.4ms
[2020-04-15T02:02:15.940-0700][gc,heap       ] GC(1396) Eden regions: 47->0(47)
[2020-04-15T02:02:15.940-0700][gc,heap       ] GC(1396) Survivor regions: 4->4(7)
[2020-04-15T02:02:15.940-0700][gc,heap       ] GC(1396) Old regions: 108->108
[2020-04-15T02:02:15.940-0700][gc,heap       ] GC(1396) Humongous regions: 130->130
[2020-04-15T02:02:15.940-0700][gc,metaspace  ] GC(1396) Metaspace: 28289K->28289K(1075200K)
[2020-04-15T02:02:15.940-0700][gc            ] GC(1396) Pause Young (Normal) (G1 Evacuation Pause) 287M->240M(1024M) 19.256ms
[2020-04-15T02:02:15.940-0700][gc,cpu        ] GC(1396) User=0.07s Sys=0.00s Real=0.02s
[2020-04-15T02:02:30.283-0700][gc,start      ] GC(1397) Pause Young (Normal) (G1 Evacuation Pause)
[2020-04-15T02:02:30.283-0700][gc,task       ] GC(1397) Using 4 workers of 4 for evacuation
[2020-04-15T02:02:30.303-0700][gc,phases     ] GC(1397)   Pre Evacuate Collection Set: 0.0ms
[2020-04-15T02:02:30.303-0700][gc,phases     ] GC(1397)   Evacuate Collection Set: 18.5ms
[2020-04-15T02:02:30.303-0700][gc,phases     ] GC(1397)   Post Evacuate Collection Set: 0.8ms
[2020-04-15T02:02:30.303-0700][gc,phases     ] GC(1397)   Other: 0.4ms
[2020-04-15T02:02:30.303-0700][gc,heap       ] GC(1397) Eden regions: 47->0(47)
[2020-04-15T02:02:30.303-0700][gc,heap       ] GC(1397) Survivor regions: 4->4(7)
[2020-04-15T02:02:30.303-0700][gc,heap       ] GC(1397) Old regions: 108->108
[2020-04-15T02:02:30.303-0700][gc,heap       ] GC(1397) Humongous regions: 130->130
[2020-04-15T02:02:30.303-0700][gc,metaspace  ] GC(1397) Metaspace: 28289K->28289K(1075200K)
[2020-04-15T02:02:30.303-0700][gc            ] GC(1397) Pause Young (Normal) (G1 Evacuation Pause) 287M->240M(1024M) 19.942ms
[2020-04-15T02:02:30.303-0700][gc,cpu        ] GC(1397) User=0.08s Sys=0.00s Real=0.02s
[2020-04-15T02:02:44.925-0700][gc,start      ] GC(1398) Pause Young (Normal) (G1 Evacuation Pause)
[2020-04-15T02:02:44.925-0700][gc,task       ] GC(1398) Using 4 workers of 4 for evacuation
[2020-04-15T02:02:44.945-0700][gc,mmu        ] GC(1398) MMU target violated: 20.0ms (20.0ms/21.0ms)
[2020-04-15T02:02:44.945-0700][gc,phases     ] GC(1398)   Pre Evacuate Collection Set: 0.1ms
[2020-04-15T02:02:44.945-0700][gc,phases     ] GC(1398)   Evacuate Collection Set: 19.2ms
[2020-04-15T02:02:44.945-0700][gc,phases     ] GC(1398)   Post Evacuate Collection Set: 0.6ms
[2020-04-15T02:02:44.945-0700][gc,phases     ] GC(1398)   Other: 0.5ms
[2020-04-15T02:02:44.946-0700][gc,heap       ] GC(1398) Eden regions: 47->0(46)
[2020-04-15T02:02:44.946-0700][gc,heap       ] GC(1398) Survivor regions: 4->5(7)
[2020-04-15T02:02:44.946-0700][gc,heap       ] GC(1398) Old regions: 108->108
[2020-04-15T02:02:44.946-0700][gc,heap       ] GC(1398) Humongous regions: 130->130
[2020-04-15T02:02:44.946-0700][gc,metaspace  ] GC(1398) Metaspace: 28289K->28289K(1075200K)
[2020-04-15T02:02:44.946-0700][gc            ] GC(1398) Pause Young (Normal) (G1 Evacuation Pause) 287M->241M(1024M) 20.517ms
[2020-04-15T02:02:44.946-0700][gc,cpu        ] GC(1398) User=0.07s Sys=0.01s Real=0.02s
[2020-04-15T02:02:58.992-0700][gc,start      ] GC(1399) Pause Young (Normal) (G1 Evacuation Pause)
[2020-04-15T02:02:58.993-0700][gc,task       ] GC(1399) Using 4 workers of 4 for evacuation
[2020-04-15T02:02:59.013-0700][gc,mmu        ] GC(1399) MMU target violated: 20.1ms (20.0ms/21.0ms)
[2020-04-15T02:02:59.013-0700][gc,phases     ] GC(1399)   Pre Evacuate Collection Set: 0.0ms
[2020-04-15T02:02:59.013-0700][gc,phases     ] GC(1399)   Evacuate Collection Set: 19.4ms
[2020-04-15T02:02:59.013-0700][gc,phases     ] GC(1399)   Post Evacuate Collection Set: 0.5ms
[2020-04-15T02:02:59.013-0700][gc,phases     ] GC(1399)   Other: 0.5ms
[2020-04-15T02:02:59.013-0700][gc,heap       ] GC(1399) Eden regions: 46->0(48)
[2020-04-15T02:02:59.013-0700][gc,heap       ] GC(1399) Survivor regions: 5->3(7)
[2020-04-15T02:02:59.013-0700][gc,heap       ] GC(1399) Old regions: 108->109
[2020-04-15T02:02:59.013-0700][gc,heap       ] GC(1399) Humongous regions: 130->130
[2020-04-15T02:02:59.013-0700][gc,metaspace  ] GC(1399) Metaspace: 28289K->28289K(1075200K)
[2020-04-15T02:02:59.013-0700][gc            ] GC(1399) Pause Young (Normal) (G1 Evacuation Pause) 287M->241M(1024M) 20.504ms
[2020-04-15T02:02:59.013-0700][gc,cpu        ] GC(1399) User=0.08s Sys=0.00s Real=0.02s
[2020-04-15T02:03:14.025-0700][gc,start      ] GC(1400) Pause Young (Normal) (G1 Evacuation Pause)
[2020-04-15T02:03:14.025-0700][gc,task       ] GC(1400) Using 4 workers of 4 for evacuation
[2020-04-15T02:03:14.037-0700][gc,phases     ] GC(1400)   Pre Evacuate Collection Set: 0.1ms
[2020-04-15T02:03:14.038-0700][gc,phases     ] GC(1400)   Evacuate Collection Set: 11.2ms
[2020-04-15T02:03:14.038-0700][gc,phases     ] GC(1400)   Post Evacuate Collection Set: 0.5ms
[2020-04-15T02:03:14.038-0700][gc,phases     ] GC(1400)   Other: 0.6ms
[2020-04-15T02:03:14.038-0700][gc,heap       ] GC(1400) Eden regions: 48->0(48)
[2020-04-15T02:03:14.038-0700][gc,heap       ] GC(1400) Survivor regions: 3->3(7)
[2020-04-15T02:03:14.038-0700][gc,heap       ] GC(1400) Old regions: 109->109
[2020-04-15T02:03:14.038-0700][gc,heap       ] GC(1400) Humongous regions: 130->130
[2020-04-15T02:03:14.038-0700][gc,metaspace  ] GC(1400) Metaspace: 28289K->28289K(1075200K)
[2020-04-15T02:03:14.038-0700][gc            ] GC(1400) Pause Young (Normal) (G1 Evacuation Pause) 289M->241M(1024M) 12.749ms
[2020-04-15T02:03:14.038-0700][gc,cpu        ] GC(1400) User=0.04s Sys=0.00s Real=0.02s
