[2020-04-14T20:00:51.102-0700][gc,heap] Heap region size: 1M
[2020-04-14T20:00:51.106-0700][gc     ] Using G1
[2020-04-14T20:00:51.106-0700][gc,heap,coops] Heap address: 0x00000000e0000000, size: 512 MB, Compressed Oops mode: 32-bit
[2020-04-14T20:00:51.734-0700][gc,start     ] GC(0) Pause Young (Normal) (G1 Evacuation Pause)
[2020-04-14T20:00:51.734-0700][gc,task      ] GC(0) Using 4 workers of 4 for evacuation
[2020-04-14T20:00:51.743-0700][gc,phases    ] GC(0)   Pre Evacuate Collection Set: 0.0ms
[2020-04-14T20:00:51.743-0700][gc,phases    ] GC(0)   Evacuate Collection Set: 8.1ms
[2020-04-14T20:00:51.743-0700][gc,phases    ] GC(0)   Post Evacuate Collection Set: 0.5ms
[2020-04-14T20:00:51.743-0700][gc,phases    ] GC(0)   Other: 0.7ms
[2020-04-14T20:00:51.743-0700][gc,heap      ] GC(0) Eden regions: 25->0(21)
[2020-04-14T20:00:51.743-0700][gc,heap      ] GC(0) Survivor regions: 0->4(4)
[2020-04-14T20:00:51.743-0700][gc,heap      ] GC(0) Old regions: 0->2
[2020-04-14T20:00:51.743-0700][gc,heap      ] GC(0) Humongous regions: 1->1
[2020-04-14T20:00:51.743-0700][gc,metaspace ] GC(0) Metaspace: 6645K->6645K(1056768K)
[2020-04-14T20:00:51.743-0700][gc           ] GC(0) Pause Young (Normal) (G1 Evacuation Pause) 26M->6M(512M) 9.408ms
[2020-04-14T20:00:51.743-0700][gc,cpu       ] GC(0) User=0.03s Sys=0.00s Real=0.01s
[2020-04-14T20:00:51.806-0700][gc,start     ] GC(1) Pause Young (Normal) (G1 Evacuation Pause)
[2020-04-14T20:00:51.806-0700][gc,task      ] GC(1) Using 4 workers of 4 for evacuation
[2020-04-14T20:00:51.812-0700][gc,phases    ] GC(1)   Pre Evacuate Collection Set: 0.0ms
[2020-04-14T20:00:51.812-0700][gc,phases    ] GC(1)   Evacuate Collection Set: 5.0ms
[2020-04-14T20:00:51.812-0700][gc,phases    ] GC(1)   Post Evacuate Collection Set: 0.2ms
[2020-04-14T20:00:51.812-0700][gc,phases    ] GC(1)   Other: 0.1ms
[2020-04-14T20:00:51.812-0700][gc,heap      ] GC(1) Eden regions: 21->0(24)
